name,subsystem,reaction,formula
CMP transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",CMPtex,cmp_e <=> cmp_p
Cold lipid A transport via ABC system (periplasm to extracellular),Lipopolysaccharide Biosynthesis / Recycling,CLIPAabctex,atp_c + h2o_c + lipa_cold_p --> adp_c + h_c + lipa_cold_e + pi_c
Acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:1),Glycerophospholipid Metabolism,APG3PAT161,glyc3p_c + hdceap_c --> 1hdec9eg3p_c + h_c + pi_c
"Cardiolipin hydrolase (periplasm, n-C12:0)",Glycerophospholipid Metabolism,CLPNH120pp,clpn120_p + h2o_p --> h_p + pa120_p + pg120_p
"Cardiolipin hydrolase (periplasm, n-C14:0)",Glycerophospholipid Metabolism,CLPNH140pp,clpn140_p + h2o_p --> h_p + pa140_p + pg140_p
"Cardiolipin hydrolase (periplasm, n-C14:1)",Glycerophospholipid Metabolism,CLPNH141pp,clpn141_p + h2o_p --> h_p + pa141_p + pg141_p
Chloramphenicol transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",CMtex,cm_e <=> cm_p
Chloramphenicol transport via TolC system,"Transport, Outer Membrane",CMtpp,cm_p + h_p --> cm_e + h_c
CO2 transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",CO2tex,co2_e <=> co2_p
"Cardiolipin hydrolase (periplasm, n-C16:0)",Glycerophospholipid Metabolism,CLPNH160pp,clpn160_p + h2o_p --> h_p + pa160_p + pg160_p
CO2 transporter via diffusion (periplasm),"Transport, Inner Membrane",CO2tpp,co2_p <=> co2_c
Cobalt (Co+2) ABC transporter (periplasm),Inorganic Ion Transport and Metabolism,COBALT2abcpp,atp_c + cobalt2_c + h2o_c --> adp_c + cobalt2_p + h_c + pi_c
Cobalt (Co+2) transport out via proton antiport (periplasm),Inorganic Ion Transport and Metabolism,COBALT2t3pp,cobalt2_c + h_p --> cobalt2_p + h_c
Cobalt (Co+2) transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",COBALT2tex,cobalt2_e <=> cobalt2_p
"Cardiolipin hydrolase (periplasm, n-C16:1)",Glycerophospholipid Metabolism,CLPNH161pp,clpn161_p + h2o_p --> h_p + pa161_p + pg161_p
"Cardiolipin hydrolase (periplasm, n-C18:0)",Glycerophospholipid Metabolism,CLPNH180pp,clpn180_p + h2o_p --> h_p + pa180_p + pg180_p
"Cardiolipin hydrolase (periplasm, n-C18:1)",Glycerophospholipid Metabolism,CLPNH181pp,clpn181_p + h2o_p --> h_p + pa181_p + pg181_p
"Cardiolipin synthase (periplasmic, n-C12:0)",Glycerophospholipid Metabolism,CLPNS120pp,2.0 pg120_p <=> clpn120_p + glyc_p
"Cardiolipin synthase (periplasmic, n-C14:0)",Glycerophospholipid Metabolism,CLPNS140pp,2.0 pg140_p <=> clpn140_p + glyc_p
Cobalt transport in via permease (no H+),Inorganic Ion Transport and Metabolism,COBALT2tpp,cobalt2_p --> cobalt2_c
Acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:0),Glycerophospholipid Metabolism,APG3PAT180,glyc3p_c + ocdcap_c --> 1odecg3p_c + h_c + pi_c
Lipid A core kinase (periplasm),Lipopolysaccharide Biosynthesis / Recycling,COLIPAKpp,colipa_p + udcpdp_p --> colipap_p + udcpp_p
"Cardiolipin synthase (periplasmic, n-C14:1)",Glycerophospholipid Metabolism,CLPNS141pp,2.0 pg141_p <=> clpn141_p + glyc_p
"Cardiolipin synthase (periplasmic, n-C16:0)",Glycerophospholipid Metabolism,CLPNS160pp,2.0 pg160_p <=> clpn160_p + glyc_p
Acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:1),Glycerophospholipid Metabolism,APG3PAT181,glyc3p_c + ocdceap_c --> 1odec11eg3p_c + h_c + pi_c
"Cardiolipin synthase (periplasmic, n-C16:1)",Glycerophospholipid Metabolism,CLPNS161pp,2.0 pg161_p <=> clpn161_p + glyc_p
Core oligosaccharide lipid A diphosphate transport via ABC system (periplasm to extracellular),Lipopolysaccharide Biosynthesis / Recycling,COLIPAPabctex,atp_c + colipap_p + h2o_c --> adp_c + colipap_e + h_c + pi_c
Core oligosaccharide lipid A transport via ABC system (periplasm),Lipopolysaccharide Biosynthesis / Recycling,COLIPAabcpp,atp_c + colipa_c + h2o_c --> adp_c + colipa_p + h_c + pi_c
Acylphosphatase (C12:0),Glycerophospholipid Metabolism,APH120,ddcap_c + h2o_c --> ddca_c + 2.0 h_c + pi_c
Core oligosaccharide lipid A transport via ABC system (periplasm to extracellular),Lipopolysaccharide Biosynthesis / Recycling,COLIPAabctex,atp_c + colipa_p + h2o_c --> adp_c + colipa_e + h_c + pi_c
"Cardiolipin synthase (periplasmic, n-C18:0)",Glycerophospholipid Metabolism,CLPNS180pp,2.0 pg180_p <=> clpn180_p + glyc_p
Acylphosphatase (C14:0),Glycerophospholipid Metabolism,APH140,h2o_c + ttdcap_c --> 2.0 h_c + pi_c + ttdca_c
"Cardiolipin synthase (periplasmic, n-C18:1)",Glycerophospholipid Metabolism,CLPNS181pp,2.0 pg181_p <=> clpn181_p + glyc_p
Coprogen(Fe(III)) reductase,Inorganic Ion Transport and Metabolism,CPGNR1,2.0 cpgn_c + fadh2_c --> 2.0 cpgn_un_c + fad_c + 2.0 fe2_c + 2.0 h_c
Acylphosphatase (C14:1),Glycerophospholipid Metabolism,APH141,h2o_c + ttdceap_c --> 2.0 h_c + pi_c + ttdcea_c
Acylphosphatase (C16:0),Glycerophospholipid Metabolism,APH160,h2o_c + hdcap_c --> 2.0 h_c + hdca_c + pi_c
Coprogen(Fe(III)) reductase,Inorganic Ion Transport and Metabolism,CPGNR2,2.0 cpgn_c + fmnh2_c --> 2.0 cpgn_un_c + 2.0 fe2_c + fmn_c + 2.0 h_c
Coprogen(Fe(III)) reductase,Inorganic Ion Transport and Metabolism,CPGNR3,2.0 cpgn_c + rbflvrd_c --> 2.0 cpgn_un_c + 2.0 fe2_c + 2.0 h_c + ribflv_c
Acylphosphatase (C16:1),Glycerophospholipid Metabolism,APH161,h2o_c + hdceap_c --> 2.0 h_c + hdcea_c + pi_c
Cyanide sulfurtransferase (periplasmic),Inorganic Ion Transport and Metabolism,CYANSTpp,cyan_p + tsul_p --> h_p + so3_p + tcynt_p
Coprogen unloaded secretion (extracellular),Inorganic Ion Transport and Metabolism,CPGNUtex,cpgn_un_p + h_p --> cpgn_un_e + h_c
Acylphosphatase (C18:0),Glycerophospholipid Metabolism,APH180,h2o_c + ocdcap_c --> 2.0 h_c + ocdca_c + pi_c
Acylphosphatase (C18:1),Glycerophospholipid Metabolism,APH181,h2o_c + ocdceap_c --> 2.0 h_c + ocdcea_c + pi_c
Coprogen unloaded secretion,Inorganic Ion Transport and Metabolism,CPGNUtpp,cpgn_un_c + h_p --> cpgn_un_p + h_c
Aminopropanol dehydrogenase reversible,Threonine and Lysine Metabolism,APPLDHr,aact_c + h_c + nadh_c <=> appl_c + nad_c
Coprogen transport via ABC system (periplasm),"Transport, Inner Membrane",CPGNabcpp,atp_c + cpgn_p + h2o_c --> adp_c + cpgn_c + h_c + pi_c
Coprogen Fe-loading reaction (spontaneaous),Inorganic Ion Transport and Metabolism,CPGNexs,cpgn_un_e + fe3_e --> cpgn_e
Coprogen transport via ton system (extracellular),"Transport, Outer Membrane",CPGNtonex,cpgn_e + h_p --> cpgn_p + h_c
"6-carboxy-5,6,7,8-tetrahydropterin synthase",Cofactor and Prosthetic Group Biosynthesis,CPH4S,ahdt_c + h2o_c --> acald_c + cph4_c + h_c + pppi_c
Cyclic pyranopterin monophosphate synthase,Cofactor and Prosthetic Group Biosynthesis,CPMPS,gtp_c + h2o_c --> cpmp_c + ppi_c
Cyanide transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",CYANtex,cyan_e <=> cyan_p
Cyanate aminohydrolase,Nitrogen Metabolism,CYNTAH,cynt_c + 3.0 h_c + hco3_c --> 2.0 co2_c + nh4_c
Cyanate transport via proton symport (periplasm),"Transport, Inner Membrane",CYNTt2pp,cynt_p + h_p --> cynt_c + h_c
Cyanate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",CYNTtex,cynt_e <=> cynt_p
D-cysteine desulfhydrase,Cysteine Metabolism,CYSDDS,cys__D_c + h2o_c --> h2s_c + nh4_c + pyr_c
Cysteine Desulfhydrase,Cysteine Metabolism,CYSDS,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
D-cysteine uptake via ABC system (periplasm),"Transport, Inner Membrane",CYSDabcpp,atp_c + cys__D_p + h2o_c --> adp_c + cys__D_c + h_c + pi_c
D-cysteine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",CYSDtex,cys__D_e <=> cys__D_p
Cysteine synthase,Cysteine Metabolism,CYSS,acser_c + h2s_c --> ac_c + cys__L_c + h_c
L-cysteine sulfinic acid desulfurase,Cysteine Metabolism,CYSSADS,3sala_c + 2.0 h_c --> ala__L_c + so2_c
Coproporphyrinogen oxidase (O2 required),Cofactor and Prosthetic Group Biosynthesis,CPPPGO,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c
Oxygen Independent coproporphyrinogen-III oxidase,Cofactor and Prosthetic Group Biosynthesis,CPPPGO2,2.0 amet_c + cpppg3_c --> 2.0 co2_c + 2.0 dad_5_c + 2.0 met__L_c + pppg9_c
Gamma-butyrobetainyl-CoA: carnitine CoA transferase,Oxidative Phosphorylation,CRNBTCT,bbtcoa_c + crn_c <=> crncoa_c + gbbtn_c
Carnitine-CoA Ligase,Oxidative Phosphorylation,CRNCAL2,atp_c + coa_c + crn_c --> adp_c + crncoa_c + pi_c
Carnitine-CoA racemase,Oxidative Phosphorylation,CRNCAR,crncoa_c <=> crnDcoa_c
Crotonobetainyl-CoA: carnitine CoA transferase,Oxidative Phosphorylation,CRNCBCT,crn_c + ctbtcoa_c <=> crncoa_c + ctbt_c
Cystathionine b-lyase,Methionine Metabolism,CYSTL,cyst__L_c + h2o_c --> hcys__L_c + nh4_c + pyr_c
5-amino-6-(5-phosphoribosylamino)uracil reductase,Cofactor and Prosthetic Group Biosynthesis,APRAUR,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c
Cysteinyl-tRNA synthetase,tRNA Charging,CYSTRS,atp_c + cys__L_c + trnacys_c --> amp_c + cystrna_c + ppi_c
L-cysteine export via ABC system (cytoplasm to periplasm),"Transport, Inner Membrane",CYSabc2pp,atp_c + cys__L_c + h2o_c --> adp_c + cys__L_p + h_c + pi_c
Carnityl-CoA dehydratse,Oxidative Phosphorylation,CRNCDH,crncoa_c <=> ctbtcoa_c + h2o_c
D-Carnitine-CoA Ligase,Oxidative Phosphorylation,CRNDCAL2,atp_c + coa_c + crn__D_c --> adp_c + crnDcoa_c + pi_c
L-arabinose isomerase,Alternate Carbon Metabolism,ARAI,arab__L_c <=> rbl__L_c
D-carnitine transport via ABC system (periplasm),"Transport, Inner Membrane",CRNDabcpp,atp_c + crn__D_p + h2o_c --> adp_c + crn__D_c + h_c + pi_c
L-cysteine uptake via ABC system (periplasm),"Transport, Inner Membrane",CYSabcpp,atp_c + cys__L_p + h2o_c --> adp_c + cys__L_c + h_c + pi_c
L-cysteine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",CYStex,cys__L_e <=> cys__L_p
Aerobactin reductase,Inorganic Ion Transport and Metabolism,ARBTNR1,2.0 arbtn_fe3_c + fadh2_c --> 2.0 arbtn_c + fad_c + 2.0 fe2_c + 2.0 h_c
L-cysteine export via facilitated transport,"Transport, Inner Membrane",CYStpp,cys__L_c --> cys__L_p
Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm),Oxidative Phosphorylation,CYTBD2pp,2.0 h_c + mql8_c + 0.5 o2_c --> h2o_c + 2.0 h_p + mqn8_c
Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm),Oxidative Phosphorylation,CYTBDpp,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_p + q8_c
Cytochrome oxidase bo3 (ubiquinol-8: 4 protons) (periplasm),Oxidative Phosphorylation,CYTBO3_4pp,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c
Cytidine deaminase,Nucleotide Salvage Pathway,CYTD,cytd_c + h2o_c + h_c --> nh4_c + uri_c
D-carnitine outward transport (H+ antiport),"Transport, Inner Membrane",CRNDt2rpp,crn__D_p + h_p <=> crn__D_c + h_c
D-carnitine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",CRNDtex,crn__D_e <=> crn__D_p
L-carnitine transport via ABC system (periplasm),"Transport, Inner Membrane",CRNabcpp,atp_c + crn_p + h2o_c --> adp_c + crn_c + h_c + pi_c
L-carnitine outward transport (H+ antiport),"Transport, Inner Membrane",CRNt2rpp,crn_p + h_p <=> crn_c + h_c
Carnitine/butyrobetaine antiporter (periplasm),"Transport, Inner Membrane",CRNt7pp,crn_p + gbbtn_c --> crn_c + gbbtn_p
Cytidine hydrolase,Alternate Carbon Metabolism,CYTDH,cytd_c + h2o_c --> csn_c + rib__D_c
L-carnitine/D-carnitine antiporter (periplasm),"Transport, Inner Membrane",CRNt8pp,crn__D_c + crn_p --> crn__D_p + crn_c
Cytidine kinase (GTP),Nucleotide Salvage Pathway,CYTDK2,cytd_c + gtp_c --> cmp_c + gdp_c + h_c
Aerobactin reductase,Inorganic Ion Transport and Metabolism,ARBTNR2,2.0 arbtn_fe3_c + fmnh2_c --> 2.0 arbtn_c + 2.0 fe2_c + fmn_c + 2.0 h_c
Cytidine transport in via proton symport (periplasm),"Transport, Inner Membrane",CYTDt2pp_copy1,cytd_p + h_p --> cytd_c + h_c
L-carnitine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",CRNtex,crn_e <=> crn_p
Citrate synthase,Citric Acid Cycle,CS,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
Cytosine deaminase,Nucleotide Salvage Pathway,CSND,csn_c + h2o_c + h_c --> nh4_c + ura_c
Cytidine transport in via proton symport (periplasm),"Transport, Inner Membrane",CYTDt2pp_copy2,cytd_p + h_p <=> cytd_c + h_c
Cytidine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",CYTDtex,cytd_e <=> cytd_p
Cytosine transport in via proton symport (periplasm),"Transport, Inner Membrane",CSNt2pp,csn_p + h_p --> csn_c + h_c
Aerobactin reductase,Inorganic Ion Transport and Metabolism,ARBTNR3,2.0 arbtn_fe3_c + rbflvrd_c --> 2.0 arbtn_c + 2.0 fe2_c + 2.0 h_c + ribflv_c
Cytosine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",CSNtex,csn_e <=> csn_p
Crotonobetaine-CoA Ligase,Oxidative Phosphorylation,CTBTCAL2,atp_c + coa_c + ctbt_c --> adp_c + ctbtcoa_c + pi_c
Crotonobetaine transport via ABC system (periplasm),"Transport, Inner Membrane",CTBTabcpp,atp_c + ctbt_p + h2o_c --> adp_c + ctbt_c + h_c + pi_c
Cytidylate kinase (CMP),Nucleotide Salvage Pathway,CYTK1,atp_c + cmp_c <=> adp_c + cdp_c
Cytidylate kinase (dCMP),Nucleotide Salvage Pathway,CYTK2,atp_c + dcmp_c <=> adp_c + dcdp_c
D-lactate transport via proton symport (periplasm),"Transport, Inner Membrane",D_LACt2pp,h_p + lac__D_p <=> h_c + lac__D_c
D-lactate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",D_LACtex,lac__D_e <=> lac__D_p
Cronobetaine outward transport (H+ antiport),"Transport, Inner Membrane",CTBTt2rpp,ctbt_p + h_p <=> ctbt_c + h_c
3-cis-2-trans-enoyl-CoA isomerase,Membrane Lipid Metabolism,CTECOAI6,tdecoa_c <=> td2coa_c
Aerobactin transport via ABC system (periplasm),"Transport, Inner Membrane",ARBTNabcpp,arbtn_fe3_p + atp_c + h2o_c --> adp_c + arbtn_fe3_c + h_c + pi_c
3-cis-2-trans-enoyl-CoA isomerase,Membrane Lipid Metabolism,CTECOAI7,hdcoa_c <=> hdd2coa_c
3-cis-2-trans-enoyl-CoA isomerase,Membrane Lipid Metabolism,CTECOAI8,odecoa_c <=> od2coa_c
D-Amino acid dehydrogenase,Alanine and Aspartate Metabolism,DAAD,ala__D_c + fad_c + h2o_c --> fadh2_c + nh4_c + pyr_c
Deoxyadenosine deaminase,Nucleotide Salvage Pathway,DADA,dad_2_c + h2o_c + h_c --> din_c + nh4_c
Deoxyadenylate kinase,Nucleotide Salvage Pathway,DADK,atp_c + damp_c <=> adp_c + dadp_c
Deoxyadenosine transport in via proton symport (periplasm),"Transport, Inner Membrane",DADNt2pp,dad_2_p + h_p --> dad_2_c + h_c
Deoxyadenosine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane",DADNtex,dad_2_e <=> dad_2_p
Diacylglycerol kinase (n-C12:0),Glycerophospholipid Metabolism,DAGK120,12dgr120_c + atp_c --> adp_c + h_c + pa120_c
CTP synthase (glutamine),Purine and Pyrimidine Biosynthesis,CTPS2,atp_c + gln__L_c + h2o_c + utp_c --> adp_c + ctp_c + glu__L_c + 2.0 h_c + pi_c
Cuprous Oxidase (Cu+1),Inorganic Ion Transport and Metabolism,CU1Opp,4.0 cu_p + 4.0 h_p + o2_p --> 4.0 cu2_p + 2.0 h2o_p
Copper (Cu +1) ABC transporter (periplasm),Inorganic Ion Transport and Metabolism,CU1abcpp,atp_c + cu_c + h2o_c --> adp_c + cu_p + h_c + pi_c
Copper (Cu+2) ABC transporter (periplasm),Inorganic Ion Transport and Metabolism,CU2abcpp,atp_c + cu2_c + h2o_c --> adp_c + cu2_p + h_c + pi_c
Copper (Cu+2) transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",CU2tex,cu2_e <=> cu2_p
Diacylglycerol kinase (n-C14:0),Glycerophospholipid Metabolism,DAGK140,12dgr140_c + atp_c --> adp_c + h_c + pa140_c
Aerobactin Fe-loading reaction (spontaneous),Inorganic Ion Transport and Metabolism,ARBTNexs,arbtn_e + fe3_e --> arbtn_fe3_e
Diacylglycerol kinase (n-C14:1),Glycerophospholipid Metabolism,DAGK141,12dgr141_c + atp_c --> adp_c + h_c + pa141_c
Diacylglycerol kinase (n-C16:0),Glycerophospholipid Metabolism,DAGK160,12dgr160_c + atp_c --> adp_c + h_c + pa160_c
Copper transport in via permease (no H+),Inorganic Ion Transport and Metabolism,CU2tpp,cu2_p --> cu2_c
Copper transport out via proton antiport,"Transport, Outer Membrane",CUt3,cu_c + h_e --> cu_e + h_c
Copper (Cu+1) transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",CUtex,cu_e <=> cu_p
Diacylglycerol kinase (n-C16:1),Glycerophospholipid Metabolism,DAGK161,12dgr161_c + atp_c --> adp_c + h_c + pa161_c
Aerobactin secretion (to extracellular),"Transport, Outer Membrane",ARBTNtex,arbtn_p + h_p --> arbtn_e + h_c
Diacylglycerol kinase (n-C18:0),Glycerophospholipid Metabolism,DAGK180,12dgr180_c + atp_c --> adp_c + h_c + pa180_c
Diacylglycerol kinase (n-C18:1),Glycerophospholipid Metabolism,DAGK181,12dgr181_c + atp_c --> adp_c + h_c + pa181_c
Cyanide sulfurtransferase,Unassigned,CYANST,cyan_c + tsul_c --> h_c + so3_c + tcynt_c
D-alanine transport in via proton symport (periplasm),"Transport, Inner Membrane",DALAt2pp,ala__D_p + h_p --> ala__D_c + h_c
Aerobactin transport via ton system (extracellular),"Transport, Outer Membrane",ARBTNtonex,arbtn_fe3_e + h_p --> arbtn_fe3_p + h_c
D-Alanine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",DALAtex,ala__D_e <=> ala__D_p
DAMP transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",DAMPtex,damp_e <=> damp_p
Deoxycytidine transport in via proton symport (periplasm),"Transport, Inner Membrane",DCYTt2pp,dcyt_p + h_p --> dcyt_c + h_c
Aerobactin secretion (to periplasm),Inorganic Ion Transport and Metabolism,ARBTNtpp,arbtn_c + h_p --> arbtn_p + h_c
Deoxycytidine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane",DCYTtex,dcyt_e <=> dcyt_p
Fatty acid (dodecanoate) transport via facilitated irreversible diffusion (extracellular to periplasm),"Transport, Outer Membrane",DDCAtexi,ddca_e --> ddca_p
"2,3-diaminopropionate amonnia lyase",Alternate Carbon Metabolism,DAPAL,23dappa_c + h2o_c --> 2.0 nh4_c + pyr_c
Diaminopimelate decarboxylase,Threonine and Lysine Metabolism,DAPDC,26dap__M_c + h_c --> co2_c + lys__L_c
Diaminopimelate epimerase,Threonine and Lysine Metabolism,DAPE,26dap_LL_c <=> 26dap__M_c
M-diaminopimelic acid ABC transport (periplasm),"Transport, Inner Membrane",DAPabcpp,26dap__M_p + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c
2-dehydro-3-deoxygalactonokinase,Alternate Carbon Metabolism,DDGALK,2dh3dgal_c + atp_c --> 2dh3dgal6p_c + adp_c + h_c
"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)","Transport, Inner Membrane",DDGLCNt2rpp,2ddglcn_p + h_p <=> 2ddglcn_c + h_c
2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",DDGLCNtex,2ddglcn_e <=> 2ddglcn_p
2-dehydro-3-deoxygluconokinase,Alternate Carbon Metabolism,DDGLK,2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c
3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",DDPA,e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
"1,5-Diaminopentane transport via diffusion (extracellular to periplasm)","Transport, Outer Membrane Porin",DAPtex,15dap_e <=> 15dap_p
CDP-diacylglycerol synthetase (n-C12:0),Glycerophospholipid Metabolism,DASYN120,ctp_c + h_c + pa120_c --> cdpdddecg_c + ppi_c
CDP-diacylglycerol synthetase (n-C14:0),Glycerophospholipid Metabolism,DASYN140,ctp_c + h_c + pa140_c --> cdpdtdecg_c + ppi_c
CDP-diacylglycerol synthetase (n-C14:1),Glycerophospholipid Metabolism,DASYN141,ctp_c + h_c + pa141_c --> cdpdtdec7eg_c + ppi_c
CDP-diacylglycerol synthetase (n-C16:0),Glycerophospholipid Metabolism,DASYN160,ctp_c + h_c + pa160_c --> cdpdhdecg_c + ppi_c
2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Alternate Carbon Metabolism,DDPGALA,2dh3dgal6p_c <=> g3p_c + pyr_c
Deoxyguanylate kinase (dGMP:ATP),Nucleotide Salvage Pathway,DGK1,atp_c + dgmp_c <=> adp_c + dgdp_c
DGMP transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",DGMPtex,dgmp_e <=> dgmp_p
CDP-diacylglycerol synthetase (n-C16:1),Glycerophospholipid Metabolism,DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c
Arbutin transport via PEP:Pyr PTS (periplasm),"Transport, Inner Membrane",ARBTptspp,arbt_p + pep_c --> arbt6p_c + pyr_c
CDP-diacylglycerol synthetase (n-C18:0),Glycerophospholipid Metabolism,DASYN180,ctp_c + h_c + pa180_c --> cdpdodecg_c + ppi_c
CDP-diacylglycerol synthetase (n-C18:1),Glycerophospholipid Metabolism,DASYN181,ctp_c + h_c + pa181_c --> cdpdodec11eg_c + ppi_c
Deoxyguanosine transport in via proton symport (periplasm),"Transport, Inner Membrane",DGSNt2pp,dgsn_p + h_p --> dgsn_c + h_c
Deoxyguanosine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",DGSNtex,dgsn_e <=> dgsn_p
"2,3-dehydroadipyl-CoA hydratase",Alternate Carbon Metabolism,DHACOAH,23dhacoa_c + h2o_c <=> 3hadpcoa_c
DATP amine hydrolysis (spontaneous),Nucleotide Salvage Pathway,DATPHs,datp_c + h2o_c + h_c --> ditp_c + nh4_c
"3,4-Dihydroxy-2-butanone-4-phosphate synthase",Cofactor and Prosthetic Group Biosynthesis,DB4PS,ru5p__D_c --> db4p_c + for_c + h_c
"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)","Valine, Leucine, and Isoleucine Metabolism",DHAD1,23dhmb_c --> 3mob_c + h2o_c
Arbutin transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",ARBTtex,arbt_e --> arbt_p
"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)","Valine, Leucine, and Isoleucine Metabolism",DHAD2,23dhmp_c --> 3mop_c + h2o_c
Dihydroxyacetone phosphotransferase,Alternate Carbon Metabolism,DHAPT,dha_c + pep_c --> dhap_c + pyr_c
Dethiobiotin synthase,Cofactor and Prosthetic Group Biosynthesis,DBTS,atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c
Diacetylchitobiose-6-phosphate hydrolase,Alternate Carbon Metabolism,DC6PH,chtbs6p_c + h2o_c --> acgam6p_c + acgam_c
Decanoate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",DCAtex,dca_e <=> dca_p
Dihydroxyacetone transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",DHAtex,dha_e <=> dha_p
L-arabinose transport via ABC system (periplasm),"Transport, Inner Membrane",ARBabcpp,arab__L_p + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c
Dihydroxyacetone transport via facilitated diffusion (periplasm),"Transport, Inner Membrane",DHAtpp,dha_p <=> dha_c
"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",Cofactor and Prosthetic Group Biosynthesis,DHBD,23ddhb_c + nad_c <=> 23dhb_c + h_c + nadh_c
"2,3-dihydroxybenzoate adenylate synthase",Cofactor and Prosthetic Group Biosynthesis,DHBS,23dhb_c + atp_c + h_c --> 23dhba_c + ppi_c
"2,3-dihydroxybenzoylserine hydrolase",Cofactor and Prosthetic Group Biosynthesis,DHBSH,23dhbzs_c + h2o_c --> 23dhb_c + ser__L_c
"2,3-dihydroxycinnamate dehydrogenase",Alternate Carbon Metabolism,DHCIND,cenchddd_c + nad_c --> dhcinnm_c + h_c + nadh_c
DCMP transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",DCMPtex,dcmp_e <=> dcmp_p
DCTP deaminase,Nucleotide Salvage Pathway,DCTPD,dctp_c + h2o_c + h_c --> dutp_c + nh4_c
Deoxycytidine deaminase,Nucleotide Salvage Pathway,DCYTD,dcyt_c + h2o_c + h_c --> duri_c + nh4_c
"2,3-dihydroxycinnamate 1,2-dioxygenase",Alternate Carbon Metabolism,DHCINDO,dhcinnm_c + o2_c --> h_c + hkntd_c
L-arabinose transport via proton symport (periplasm),"Transport, Inner Membrane",ARBt2rpp,arab__L_p + h_p <=> arab__L_c + h_c
Dihydrodipicolinate reductase (NADPH),Threonine and Lysine Metabolism,DHDPRy,23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c
Dihydrodipicolinate synthase,Threonine and Lysine Metabolism,DHDPS,aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c
L-arabinose transport via proton antiport (periplasm),"Transport, Inner Membrane",ARBt3ipp,arab__L_c + h_p --> arab__L_p + h_c
Dihydrofolate reductase,Cofactor and Prosthetic Group Biosynthesis,DHFR,dhf_c + h_c + nadph_c <=> nadp_c + thf_c
Dihydrofolate synthase,Cofactor and Prosthetic Group Biosynthesis,DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c
Beta-fructofuranosidase,Alternate Carbon Metabolism,FFSD,h2o_c + suc6p_c --> fru_c + g6p_c
